I was horrible to children at my first preschool job,8
I asked my crush for sending me her picture and she got made at me.,1
I'm a fucking dunce and want to cringe myself out existence.,1
I have 0 friends and now I fantasies about having friends,22
I hired a escort and I can’t live this with regret I need to let this out,1
I had sex with a escort and I’m really regretting it I need to let this out,1
someone tell me what is wrong with me and why I'm like this,1
I set up cameras in my son's apartment and watched him have sex?,0
The reason i dont kill myself is that i wont get to see what will happen afterwards,1
My mother sexually abused me for years and I haven’t told my dad.,1
I hate my bf dog…………………………………………. …………………………………………………………………………. …………………………………………………………………………. ……………………………………,1
I just used my grandma’s credit card for DoorDash.,1
The story of how I ruined a lot of friendships and broke at least 2 hearts on the hunt for true love,1
My daughter told me she was molested and I don't believe her,1
I hacked an ex's snapchat account and I think she found out.,1
I'm 24 and I feel so behind. I feel so behind in life.,1
I was thinking of killing myself but then realised I have nothing too end it,1
I don't feel attractive enough for my boyfriend. We haven't done anything for a week when we normally do it once or twice a week. I want to know if he's telling me the truth or not,1
I’m afraid taking out my birth control will change my whole personality,1
I drove while a little high and it's something I always promised myself that I'd never do.,0
"I have disturbing sexually intrusive thoughts, normal?",1
Me and my friend both stole something when I was 13 and my friend got in trouble for it.,0
My dad made me read my cheating mums sexts when I was a teen.,1
I was married to a woman and I was gay. I was fledgling young adult trying to find a definition in the world.,1
I Seriously Just Want To Leave My Entire Life Behind And Start Over,1
I lied to my boyfriend for the first time and I do feel guilty about it but...,1
I stole $200 from my little sister to go shopping and lied about it,3
I have benefit a lot from nepotism and it’s made me feel guilt and imposter syndrome,1
I took some photos of a woman's butt and now i feel guilt and regret,2
I get upset when my SO helps themselves. I would look under the door to see it.,1
Cake cum n piss cake cum n piss cake cum n piss cake,1
my gf is trying to give me a foot fetish as a joke,1
I purposely killed a man on his deathbed who could’ve lived months longer,1
"I got way too drunk around my chefs, and shared things that was too sensitive for people I barely know",12
I sometimes make up issues at work or home just so I can call my dad and have a conversation with him by asking for advice or solutions,1
"On my phone, on notes app, you can find a suicide letter for every person I ‘care’ about.",1
i didn’t want to get sober and i know that i can’t go back now,1
"I grew up in a semi-nudist, free-love hippie commune",1
"In the mid 90's I might have made my ""boss"" extra fat.",796
